id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,location_x,location_y,team_id,player_id,shot_bodyPart_head_or_other,assist_type_long_pass,direct_free_kick,assist_type_through_pass,shot_distance,shot_angle,shot_xg
2351938221,5588950,2H,77,1,01:17:01.368,4939.368511,76,63,3157,403260,0,0,0,0,41.012193308819754,18.058362267849468,0.004084
2351938311,5588950,2H,86,0,01:26:00.030,5478.030182,87,64,3157,477082,0,0,0,0,34.9857113690718,15.826154076172545,0.00724
2351938397,5588950,2H,94,7,01:34:07.944,5965.944767,77,64,3157,403260,0,0,0,0,41.036569057366385,17.453694132293993,0.006824
2397095902,5589020,1H,4,31,00:04:31.714,272.714248,86,68,6408,282768,0,0,0,0,38.948684188300895,13.396093798402946,0.01899
2397097507,5589020,1H,5,29,00:05:29.966,330.966686,80,70,6408,536902,0,0,0,0,43.829214001622255,13.742797739157055,0.01691
2397096064,5589020,1H,8,53,00:08:53.567,534.567415,96,65,2445,352328,0,0,0,0,32.28002478313795,9.568640165392539,0.14
2397096158,5589020,1H,12,21,00:12:21.037,742.037738,91,45,2445,352328,1,0,0,0,17.804493814764857,46.877877447285364,0.1183
2397096237,5589020,1H,17,17,00:17:17.435,1038.435975,75,54,2445,260402,0,0,0,0,36.05551275463989,23.8926746406727,0.05886
2397096334,5589020,1H,21,32,00:21:32.685,1293.685919,87,70,2445,542209,0,0,0,0,40.24922359499622,11.888658039627972,0.02276
2397096340,5589020,1H,21,42,00:21:42.400,1303.400051,90,49,2445,352328,0,0,0,0,21.213203435596427,36.19320730556469,0.3529
2397096412,5589020,1H,24,55,00:24:55.775,1496.775112,92,56,2445,532559,0,0,0,0,25.553864678361276,22.249023657212373,0.3135
2397096514,5589020,1H,30,14,00:30:14.526,1815.52616,85,47,2445,352328,0,0,0,0,23.853720883753127,36.41637851988605,0.09578
2397096573,5589020,1H,32,46,00:32:46.356,1967.356341,76,43,2445,503185,0,0,0,0,30.364452901377952,31.827446576673108,0.006496
